id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38251813,best price,290695994,N,,IV Tiburtina,41.92141,12.54662,Private room,31,60,12,2019-11-01,0.45,2,0,0,
38252421,Best price,290695994,N,,IV Tiburtina,41.92047,12.5466,Private room,250,200,20,2020-02-26,0.75,2,0,0,
38254077,Peaceful house with a fabulous terrace view,18750882,Giovanni,,XII Monte Verde,41.88005,12.46409,Entire home/apt,40,4,0,,,1,43,0,
38255057,VITTORIA PALACE SPANISH STEPS,52401203,Mario & Valeria,,I Centro Storico,41.90745,12.47976,Entire home/apt,350,3,1,2020-01-02,0.04,5,216,0,
38262020,Clo's flat Delve into the Delights of Rome,42837412,Clo,,XIII Aurelia,41.89737,12.45726,Entire home/apt,97,3,27,2021-12-07,1.05,2,315,19,
38263651,Gils House al Vaticano AB,37814145,Giampaolo,,I Centro Storico,41.90741,12.45906,Entire home/apt,185,2,4,2021-11-14,0.18,3,163,2,
38266435,Camera matrimoniale Privata,196532307,Guido,,I Centro Storico,41.89483,12.50432,Private room,34,2,18,2020-02-16,0.67,1,0,0,
38271642,VATICAN CITY APARTMENT,48168101,Silvia,,I Centro Storico,41.90725,12.46256,Entire home/apt,50,2,1,2019-12-26,0.04,10,0,0,
38272889,A casa di MariaRosy simpatica e solare,80196348,Maria,,IV Tiburtina,41.91967,12.53558,Private room,35,5,0,,,2,358,0,
38278178,Well connected Villa with modern design,283887820,Michele,,X Ostia/Acilia,41.71544,12.32009,Entire home/apt,115,2,9,2021-09-04,0.34,1,280,1,
38285775,La casa di Viola,291036938,Stefania,,V Prenestino/Centocelle,41.88424,12.54384,Entire home/apt,45,1,12,2020-01-17,0.44,1,69,0,
38304447,Narciso House,291234588,Raffaele,,V Prenestino/Centocelle,41.88079,12.56654,Entire home/apt,58,3,11,2020-03-31,0.41,1,348,0,
38305363,Roman Holidays Hostel near Termini 4 ensuite,291238628,Ciprian,,I Centro Storico,41.90463,12.4994,Hotel room,99,1,1,2021-11-03,0.81,12,180,1,
38307247,Apartment Trastevere Glasshouse,281415886,Daniella,,I Centro Storico,41.88888,12.4718,Entire home/apt,67,2,44,2021-10-24,1.95,4,346,21,
38308016,Like At Home Piramide - Gazometro,20636705,Raffaele&Ligheia,,VIII Appia Antica,41.87184,12.47767,Private room,116,2,5,2019-11-13,0.18,5,65,0,ATR-008502-3
38308531,Casa Dolce Casa,270274576,Michele,,X Ostia/Acilia,41.73156,12.27426,Entire home/apt,60,2,16,2020-09-22,0.59,1,6,0,
38317663,NIKYFREAKY GARDEN Home (smartworking house),291406484,Vera,,VII San Giovanni/Cinecittà,41.88431,12.52058,Entire home/apt,41,5,20,2020-03-15,0.73,3,252,0,
38319041,"Centocelle, bright and lovely  apartment",1107433,Emiliano & Maria,,V Prenestino/Centocelle,41.88427,12.56502,Entire home/apt,81,2,4,2021-10-17,0.15,56,0,2,
38323052,Elena’s house,9151495,Elena,,II Parioli/Nomentano,41.91422,12.50482,Entire home/apt,99,2,6,2021-03-10,0.23,5,0,2,
38323628,Hotel Balilla Roma,288444109,Hotel,,I Centro Storico,41.89429,12.51229,Hotel room,49,1,1,2021-11-24,1,1,138,1,
38324803,“La Casa di Vera”  .. vicino a Trastavere,91656761,Simona,,XII Monte Verde,41.87188,12.456,Entire home/apt,59,2,35,2021-12-05,1.32,1,222,23,
38335223,2 Colonne al Colosseo,14542850,Roberta,,I Centro Storico,41.88873,12.49586,Entire home/apt,148,3,65,2021-12-07,2.46,3,323,33,
38336465,Hermes Suite Four,233097272,Giuseppina,,I Centro Storico,41.90604,12.46829,Entire home/apt,75,3,4,2019-11-27,0.15,7,0,0,
38340397,Roman Holidays Hostel near Termini 5 ensuite,291238628,Ciprian,,I Centro Storico,41.90361,12.49844,Hotel room,17,1,361,2021-11-24,13.22,12,31,62,
38340567,Private Bedroom Modern quite apartment,4293315,Leandra,,XII Monte Verde,41.87925,12.46314,Private room,60,2,0,,,2,339,0,
38340760,CASA TUA! Cozy and Charming in Centocelle,291752042,Vincenzo,,V Prenestino/Centocelle,41.87889,12.56799,Entire home/apt,38,2,3,2019-11-04,0.11,1,67,0,
38341406,500 Suite Prati Delle Vittorie,278299721,Raffaella,,I Centro Storico,41.91514,12.46005,Private room,75,7,1,2019-09-15,0.04,1,339,0,
38343131,Elena’s house room 1,9151495,Elena,,I Centro Storico,41.90726,12.50296,Private room,65,1,3,2019-10-06,0.11,5,0,0,
38343506,Monolocale Roma,125887687,Francesco,,XII Monte Verde,41.86537,12.36375,Entire home/apt,30,3,1,2019-09-21,0.04,2,8,0,
38343870,Elena’s house room 2,9151495,Elena,,II Parioli/Nomentano,41.91439,12.5046,Private room,49,1,1,2021-02-28,0.11,5,0,1,
38345505,"wonderful terrace, great location in Trastevere",123386524,Alessandro,,XII Monte Verde,41.87849,12.46624,Entire home/apt,75,2,3,2021-11-27,0.11,2,251,1,
